b'http://images2.chictopia.com/photos/RuxandraIoana/4494472364/mbym-skirt_400.jpg',2018-06-07,b'RuxandraIoana',b'Casual;Brunch;summer;',b'More to see here:\xc2\xa0https://byruxandra.com/2018/06/07/il-fait-beau/',b':mbym skirt;'
b'http://images0.chictopia.com/photos/RuxandraIoana/9323486814/lesara-skirt_400.jpg',2018-05-10,b'RuxandraIoana',b'Chic;Going Out With Friends;summer;',b'More to see here:\xc2\xa0https://byruxandra.com/2018/05/10/when-you-call-my-name/',b':Lesara skirt;'
b'http://images2.chictopia.com/photos/RuxandraIoana/1979253243/urban-outfitters-skirt_400.jpg',2018-04-22,b'RuxandraIoana',b'Casual;Everyday;spring;',b'More to see here:\xc2\xa0https://byruxandra.com/2018/04/22/tip-pon-it/',b':Urban Outfitters skirt;'
b'http://images0.chictopia.com/photos/elizabethkeene/9558803557/ingie-top-ingie-paris-skirt_400.jpg',2018-03-05,b'elizabethkeene',b'Chic;Art Opening;spring;',"b'Wore a total @ingieparis look for the show yesterday. This top and skirt took my breath away. Moments like these make me feel so grateful to be doing what I love. Fashion week is so crazy busy and the days are incredibly long, but being able to work with such amazing designers and to see their creations up close and personal makes it all worthwhile. See her gorgeous collection on my highlighted \xe2\x80\x9ctravel\xe2\x80\x9d story. \xe2\x9d\xa4\xef\xb8\x8f Pc: @dannyfung #grateful #pfw #ingieparis #wiw #parisfashionweek #shangrilaparis'",b':ingie top;'
b'http://images2.chictopia.com/photos/themoptop/3390879001/ivory-reformation-shirt-tawny-side-party-skirt_400.jpg',2017-10-03,b'themoptop',b'Casual;Everyday;Summer;',"b""This was one of those outfits that I shot over the summer but I wanted to save it until fall becuase the colors are so perfect for the season! Plus it's still warm in other parts of the world too!\xc2\xa0""",b'ivory:Reformation shirt;'
b'http://images0.chictopia.com/photos/districtofchic/1826227547/black-patent-mango-boots-black-turtleneck-zara-sweater_400.jpg',2017-12-28,b'districtofchic',b'Business;Work;winter;tights;',b'Don\xe2\x80\x99t you love those moments of closet serendipity where two pieces from completely different walks of life sync up as if they were always meant to be together? I recently benefited from such a happy occasion when a new Zara skirt fit perfectly with a vintage blazer I\xe2\x80\x99ve had for ages. Vintage pieces have always been an integral part of my wardrobe so I get a special satisfaction out of giving them new life when trends come back around again. The plaids might not be an exact match but I\xe2\x80\x99ve never been much of matchy-matchy person anyway.',b'black:Mango boots;'
b'http://images0.chictopia.com/photos/RuxandraIoana/5872638007/zaful-skirt_400.jpg',2017-09-05,b'RuxandraIoana',b'Chic;Blind Date;summer;',b'More here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/09/railway.html',b':zaful skirt;'
b'http://images2.chictopia.com/photos/LeFashionMonster/10223413054/black-forever-21-hat-heather-gray-mango-skirt_400.jpg',2017-08-29,b'LeFashionMonster',b'Chic;Everyday;fall;',b'Obsessing over solids with a printed skirt!\xc2\xa0',b'black:Forever 21 hat;'
b'http://images2.chictopia.com/photos/gvozd/2698513607/ninelly-skirt_400.jpg',2017-08-23,b'gvozd',b'Bohemian;Traveling;summer;',b'http://www.gvozdishe.com/2017/08/new-world.html',b':Ninelly skirt;'
b'http://images2.chictopia.com/photos/districtofchic/5761255014/black-cat-eye-quay-sunglasses-red-gingham-zara-skirt_400.jpg',2017-08-21,b'districtofchic',b'Chic;Dinner Date;summer;',b'More on District of Chic...',b'black:quay sunglasses;'
